87,4,1,numeros/fracc_pct_rzns_pro/comparacion/diapositiva_1_v,1
88,4,2,numeros/fracc_pct_rzns_pro/comparacion/diapositiva_2_v,1
89,4,3,numeros/fracc_pct_rzns_pro/comparacion/diapositiva_3_v,1
90,4,4,numeros/fracc_pct_rzns_pro/comparacion/diapositiva_4_v,1
91,4,5,numeros/fracc_pct_rzns_pro/comparacion/diapositiva_5_v,1
92,4,6,numeros/fracc_pct_rzns_pro/comparacion/diapositiva_6_v,1
93,4,7,numeros/fracc_pct_rzns_pro/comparacion/diapositiva_7_v,1
94,5,1,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_1_v,1
95,5,2,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_2_v,1
96,5,3,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_3_v,1
97,5,4,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_4_v,1
98,5,5,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_5_v,1
99,5,6,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_6_v,1
100,5,7,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_7_v,1
101,5,8,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_8_v,1
102,5,9,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_9_v,1
103,5,10,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_10_v,1
104,5,11,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_11_v,1
105,5,12,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_12_v,1
106,5,13,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_13_v,1
107,5,14,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_14_v,1
108,5,15,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_15_v,1
109,5,16,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_16_v,1
110,5,17,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_17_v,1
111,5,18,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_18_v,1
112,5,19,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_19_v,1
113,5,20,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_20_v,1
114,5,21,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_21_v,1
115,5,22,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_22_v,1
116,5,23,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_23_v,1
117,5,24,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_24_v,1
118,5,25,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_25_v,1
119,5,26,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_26_v,1
120,5,27,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_27_v,1
121,5,28,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_28_v,1
122,5,29,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_29_v,1
123,5,30,numeros/fracc_pct_rzns_pro/equivalencia/diapositiva_30_v,1
124,6,1,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_1_v,1
125,6,2,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_2_v,1
126,6,3,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_3_v,1
127,6,4,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_4_v,1
128,6,5,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_5_v,1
129,6,6,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_6_v,1
130,6,7,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_7_v,1
131,6,8,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_8_v,1
132,6,9,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_9_v,1
133,6,10,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_10_v,1
134,6,11,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_11_v,1
135,6,12,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_12_v,1
136,6,13,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_13_v,1
137,6,14,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_14_v,1
138,6,15,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_15_v,1
139,6,16,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_16_v,1
140,6,17,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_17_v,1
141,6,18,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_18_v,1
142,6,19,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_19_v,1
143,6,20,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_20_v,1
144,6,21,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_21_v,1
145,6,22,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_22_v,1
146,6,23,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_23_v,1
147,6,24,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_24_v,1
148,6,25,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_25_v,1
149,6,26,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_26_v,1
150,6,27,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_27_v,1
151,6,28,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_28_v,1
152,6,29,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_29_v,1
153,6,30,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_30_v,1
154,6,31,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_31_v,1
155,6,32,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_32_v,1
156,6,33,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_33_v,1
157,6,34,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_34_v,1
158,6,35,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_35_v,1
159,6,36,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_36_v,1
160,6,37,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_37_v,1
161,6,38,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_38_v,1
162,6,39,numeros/fracc_pct_rzns_pro/op-suma_resta/diapositiva_39_v,1
